ID,Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
1,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3580","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",12:15:00,"05h 45m",18:00:00,3.9,670.00,"41 Seats available"
2,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 24256","INDRA(A.C. Seater)",12:30:00,"05h 30m",18:00:00,3,528.00,"30 Seats available"
3,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 9319","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00:00,"06h 20m",19:20:00,3.5,436.00,"31 Seats available"
4,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3576","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",13:15:00,"06h 15m",19:30:00,4,670.00,"42 Seats available"
5,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 35154","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40:00,"06h 40m",20:20:00,3.1,436.00,"33 Seats available"
6,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 24291","INDRA(A.C. Seater)",14:00:00,"05h 00m",19:00:00,3.9,528.00,"33 Seats available"
7,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 9363","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:00:00,"06h 20m",20:20:00,2.8,436.00,"33 Seats available"
8,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3578","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",14:15:00,"05h 45m",20:00:00,3.6,670.00,"47 Seats available"
9,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3722","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30:00,"06h 15m",20:45:00,3,436.00,"33 Seats available"
10,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3859","DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle)",15:15:00,"06h 10m",21:25:00,3.4,670.00,"49 Seats available"
11,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3356","NIGHT RIDER (SEATER CUM SLEEPER)",15:45:00,"07h 00m",22:45:00,3.4,595.00,"35 Seats available"
12,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3546","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",16:15:00,"06h 15m",22:30:00,3.7,670.00,"41 Seats available"
13,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3500","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:20:00,"08h 25m",00:45:00,2.5,436.00,"33 Seats available"
14,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3376","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:45:00,"06h 30m",23:15:00,4.2,436.00,"33 Seats available"
15,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2561","INDRA(A.C. Seater)",17:15:00,"05h 30m",22:45:00,3.4,528.00,"38 Seats available"
16,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3358","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20:00,"07h 50m",01:10:00,3.9,436.00,"33 Seats available"
17,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3366","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:55:00,"07h 50m",01:45:00,2.4,436.00,"31 Seats available"
18,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3360","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",18:25:00,"07h 05m",01:30:00,2.6,720.00,"43 Seats available"
19,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2575","NIGHT RIDER (SEATER CUM SLEEPER)",18:55:00,"06h 20m",01:15:00,4,595.00,"39 Seats available"
20,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 4916","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:25:00,"06h 50m",02:15:00,3.4,436.00,"33 Seats available"
21,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2563","INDRA(A.C. Seater)",19:30:00,"05h 55m",01:25:00,3.3,528.00,"34 Seats available"
22,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2680","VENNELA (A.C. SLEEPER)",19:45:00,"06h 15m",02:00:00,4.4,781.00,"21 Seats available"
23,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2798","INDRA(A.C. Seater)",19:55:00,"06h 35m",02:30:00,3.3,528.00,"37 Seats available"
24,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3622","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00:00,"07h 35m",03:35:00,4.3,436.00,"29 Seats available"
25,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2688","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:00:00,"06h 45m",02:45:00,4.2,436.00,"28 Seats available"
26,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 4972","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:10:00,"07h 10m",03:20:00,4.2,436.00,"24 Seats available"
27,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2549","NIGHT RIDER (SEATER CUM SLEEPER)",20:15:00,"06h 00m",02:15:00,3.1,595.00,"41 Seats available"
28,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 4894","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:25:00,"06h 35m",03:00:00,4.7,436.00,"32 Seats available"
29,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2573","AMARAVATHI (VOLVO / SCANIA A.C Multi Axle)",20:25:00,"06h 05m",02:30:00,3.3,670.00,"43 Seats available"
30,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 24262","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30:00,"05h 30m",02:00:00,3.9,469.00,"33 Seats available"
31,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 3971","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:30:00,"07h 15m",03:45:00,3.9,443.00,"34 Seats available"
32,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 4898","SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",20:35:00,"06h 25m",03:00:00,2.9,436.00,"33 Seats available"
33,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 2678","NIGHT RIDER (SEATER CUM SLEEPER)",20:40:00,"06h 20m",03:00:00,3.5,595.00,"31 Seats available"
34,"Hyderabad to Vijayawada",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,"APSRTC - 4880","STAR LINER(NON-AC SLEEPER 2+1)",20:40:00,"06h 05m",02:45:00,3.9,565.00,"33 Seats available"
